Row,Instruction,Query,Distance
125,"Write XQL query to Firewall threat logs and display events relating to a combination of firewall and endpoint logs over the network, limit the result to 100 and sort by host query count","dataset = panw_ngfw_threat_raw | filter `action` = ""sinkhole"" and `app` = ""dns"" | join (preset = network_story ) as XAN XAN.action_remote_ip = dest_ip and XAN.action_local_ip = source_ip and XAN.action_remote_port = dest_port and XAN.action_local_port = source_port | filter dns_query_name not contains ""wpad."" | comp count_distinct(dns_query_name) as host_query_count by action_local_ip | sort desc host_query_count | limit 100",0.8388454279575461
220,Write XQL query to Firewall File data and provide insight into file types seen and display in pie graph,"dataset = panw_ngfw_filedata_raw | comp count(_id) as total by file_type | fields total, file_type | sort desc total | view graph type = pie xaxis = file_type yaxis = total",0.8384387797820985
11,"Write XQL query to Firewall Logs to get all rule with action is allow and display rule_matched, action, from_zone, to_zone, total_traffic, sorted by count number of _id","dataset = panw_ngfw_traffic_raw | filter action = \""allow\"" | comp count(_id) as total_traffic by rule_matched,action, from_zone, to_zone | fields rule_matched, action, from_zone, to_zone, total_traffic | sort desc total_traffic",0.8378213374402798
17,Write XQL query to get a list of endpoints which have exactly 1 proxy configured,dataset=endpoints | alter num_proxy = array_length(proxy) | filter num_proxy  = 1,0.8328416700364563
219,Write XQL query to Firewall File data and highlight the direction of files in pie chart,dataset = panw_ngfw_filedata_raw | comp count(_id) as Total by direction_of_attack | view graph type = pie xaxis = direction_of_attack yaxis = Total,0.8313246105037632
173,Write XQL query to Firewall threat logs and network story to display NGFW Unique DNS Queries Sinkholed by Host IP and return top 100 results. ,"dataset = panw_ngfw_threat_raw | filter `action` = ""sinkhole"" and `app` = ""dns"" | join (preset = network_story ) as XAN XAN.action_remote_ip = dest_ip and XAN.action_local_ip = source_ip and XAN.action_remote_port = dest_port and XAN.action_local_port = source_port | filter dns_query_name not contains ""wpad."" | comp count_distinct(dns_query_name) as host_query_count by action_local_ip | sort desc host_query_count | limit 100",0.8308224116136544
169,Write XQL query to highlight threats over time derived from Firewall threat log and display in line graph,"dataset = panw_ngfw_threat_raw | bin _time span = 1d | comp count(_id) by _time | alter date = format_timestamp(""%b %d %Y"", _time) | sort asc _time | view graph type = line header = ""Threats Over Time"" xaxis = date yaxis = count_1 headerfontsize = 16 legend = `false` xaxistitle = ""Time"" yaxistitle = ""Count""",0.8303379403659654
199,Write XQL query to Firewall threat logs to Show HTTP code 400s and display as column graph,"dataset = panw_ngfw_threat_raw | filter threat_name_firewall contains ""HTTP-Code-FW 4"" | comp count(_id) as Counter by threat_name_firewall | sort desc Counter | view graph type = column subtype = grouped layout = horizontal header = ""HTTP Code 400s"" xaxis = threat_name_firewall yaxis = Counter",0.8289168831203815
18,Write XQL query to get a list of endpoints which are not protected,dataset=endpoints | filter operational_status != ENUM.PROTECTED,0.8286440177029739
19,Write XQL query to get the number of endpoints assigned to each policy,dataset=endpoints | comp count(endpoint_name) as num_endpoint by assigned_prevention_policy ,0.8280041331594717
14,Write XQL query to look for hostname and IP connecting via port 3389 using an unusual process,"dataset = xdr_data | filter event_type = NETWORK and event_sub_type = NETWORK_STREAM_CONNECT and action_remote_port = 3389 and actor_process_image_name not in (\""mstsc.exe\"", \""Microsoft Remote Desktop\"") | fields event_type, agent_hostname as Hostname, action_local_ip as Local_IP, action_remote_ip as Remote_IP, action_external_hostname as Remote_Host, action_local_port as Local_Port, actor_process_image_name as Process_Getting_Connection",0.8275536962642929
218,"Write XQL query to Firewall File data and provide insight into file activity based upon volume by app, display in pie chart","dataset = panw_ngfw_filedata_raw | filter app not contains ""xdr"" and app not contains ""paloalto"" and app not contains ""traps"" and app not contains ""traps"" and app not contains ""panos"" | comp count(_id) as total by app | fields total, app | sort desc total | view graph type = pie xaxis = app yaxis = total",0.8253975634374218
167,Write XQL query to display pie graph highlighting the threat categories derived from Firewall threat logs,"dataset = panw_ngfw_threat_raw | comp count(_id) as count by threat_category | view graph type = pie header = ""NGFW Threat Categories"" show_callouts_names = `true` xaxis = threat_category yaxis = count headerfontsize = 16",0.8233297299471947
221,Write XQL query to Firewal URL logs and show visibility into malware categorized destinations in desc order or total connection,"dataset = panw_ngfw_url_raw | filter url_category = ""malware"" | comp count(_id) as total by url_domain, from_zone, to_zone, source_ip | fields url_domain, source_ip, from_zone, to_zone, total | sort desc total",0.8227838065878854
114,"Write XQL query to AWS logs and parses out Username, Source IP, User Agent, and the Event Category","dataset = amazon_aws_raw | alter Username=json_extract(message, ""$.userIdentity.sessionContext.sessionIssuer.userName"") | alter SourceIP=json_extract(message, ""$.sourceIPAddress"") | alter UserAgent=json_extract(message, ""$.userAgent"") | alter Category=json_extract(message, ""$.eventCategory"")",0.8204491617533918
168,Write XQL query to highlight outbound geo-graphical threats from Firewall threat log and display in map graph,"dataset = panw_ngfw_threat_raw  | iploc dest_ip loc_continent AS Continent, loc_country AS IP_Address_Country, loc_region AS IP_Address_Region, loc_city as IP_Address_City | comp count(_id ) as remotelocations by IP_Address_Country | view graph type = map header = ""NGFW Threats by Country"" xaxis = IP_Address_Country yaxis = remotelocations legend = `false`",0.8200284113712628
178,Write XQL query looks for network traffic on common ports where a higher layer protocol does not match the port that is being used,"dataset = panw_ngfw_traffic_raw | filter (app = ""http"" AND dest_port NOT IN (80, 8080)) OR (app = ""dns"" AND dest_port != 53) OR (app = ""ssl"" AND dest_port NOT IN (443, 8443)) OR (app = ""smtp"" AND dest_port != 25) | fields app, from_zone , to_zone, source_ip , dest_ip , dest_port",0.8187984993385736
230,Write XQL query to highlight IoT Devices by Profile derived from IoT Security Device logs,"dataset = panw_iot_security_devices_raw | comp count_distinct(MAC) as Devices, count_distinct(profile) as Profiles, count_distinct(category) as Categories by profile_vertical | filter profile_vertical != null | fields profile_vertical, Devices , Profiles , Categories",0.8164842641565005
209,"Write XQL Query to Data lake to detects external IP addresses that failed to login multiple time , among with succesful logins","dataset = xdr_data | filter event_type = EVENT_LOG AND action_evtlog_event_id = 4624  | alter Source_IP = arrayindex(regextract(action_evtlog_message, ""Source Network Address:.*?(\d+\.\d+\.\d+\.\d+)\r\n""),0), User_Name = arrayindex(regextract(action_evtlog_message,""New Logon:\r\n.*\r\n.*?Account Name:.*?(\w.*?)\r\n""),0) | fields User_Name, Source_IP, agent_hostname as logged_in_to_host | filter (User_Name != ""SYSTEM"" AND User_Name NOT CONTAINS ""$"") AND Source_IP != ""0.0.0.0"" | comp count(User_Name ) as total_successful_logins by Source_IP, User_Name ,logged_in_to_host | fields total_successful_logins , Source_IP , User_Name ,logged_in_to_host |alter internal1 = incidr(Source_IP , ""172.16.0.0/12"")  |alter internal2 = incidr(Source_IP, ""10.0.0.0/8"") |alter internal3 = incidr(Source_IP, ""192.168.0.0/16"") |filter internal1 = false AND internal2 = false AND internal3 = false AND source_ip != ""127.0.0.1"" | fields -internal1 | fields -internal2 | fields -internal3 | join type = left ( filter event_type = EVENT_LOG AND (action_evtlog_event_id = 4625)  | alter Failed_Source_IP = arrayindex(regextract(action_evtlog_message, ""Source Network Address:.*?(\d+\.\d+\.\d+\.\d+)\r\n""),0) | comp count(Failed_Source_IP) as total_failed_logins by agent_hostname ,Failed_Source_IP ) as failed_logins failed_logins.Failed_Source_IP = Source_IP and failed_logins.agent_hostname = logged_in_to_host | filter total_failed_logins > total_successful_logins AND total_failed_logins > 20  | fields -Failed_Source_IP | fields -agent_hostname | alter ratio_between_fails_to_success = divide(total_failed_logins , total_successful_logins )",0.8159520417625299
165,Write XQL query to Firewall threat log and display the map graph of the geographic location malicious emails originated from through wildfire detections,"dataset = panw_ngfw_threat_raw | filter app_sub_category =ÒemailÓ and recipient_of_virus != null | iploc source_ip loc_country as IP_Address_Country, loc_region as IP_Address_Region, loc_city as IP_Address_City | comp count(_id ) as remotelocations by IP_Address_Country | view graph type = map header = ÒEmail Threats by CountryÓ xaxis = IP_Address_Country yaxis = remotelocations legend = `false`",0.814868064134449
115,"Write XQL query to Firewall Logs and looks for hosts that reach out to more than 100 hosts, or more than 100 ports in a short period of time, indicating scanning.","dataset = panw_ngfw_traffic_raw | comp count_distinct(dest_port ) as num_dest_port, count_distinct(dest_ip) as num_dest_ip by source_ip | filter num_dest_port > 100 OR num_dest_ip > 100",0.8141134135799915
155,Write XQL query to Cloud logs to find Log4Shell in Cloud Environments by regex,"dataset = cloud_audit_logs | alter raw_log_decoded = replace(replace(replace(lowercase(raw_log), ""%7b"", ""{""), ""%24"",""$""), ""%7d"", ""}"") | filter raw_log_decoded ~= ""(\${|\$[^{]+{)(j|\${j[^}]+}|\${[^}]+j})(n|\${n[^}]+}|\${[^}]+n})(d|\${d[^}]+}|\${[^}]+d})(i|\${i[^}]+}|\${[^}]+i})"" OR raw_log ~= ""${jndi""",0.8109215357735812
179,Write XQL query to search for potential credit card information exfiltrated via DNS,"dataset = xdr_data| filter event_type = STORY and dns_query_name ~= ""^(?:4[0-9]{12}(?:[0-9]{3})?|5[1-5][0-9]{14}|3[47][0-9]{13}).*"" |filter agent_hostname != ""DC1"" |comp count(dns_query_name) as cc_count by dns_query_name, user_id, agent_hostname |fields dns_query_name, cc_count, user_id, agent_hostname, agent_hostname as nullhost |replacenull nullhost = ""N/A"" |filter nullhost != ""N/A"" |fields dns_query_name, cc_count, user_id, nullhost",0.8090028880542349
228,Write XQL query to highlight failed logins by users derived from NGFW Global Protect logs,"dataset = panw_ngfw_globalprotect_raw | filter status = ""failure"" | comp count(_id) as Count by source_user | fields source_user, Count",0.8084392763915069
148,Write XQL query to look for changes to file associated with login credentials/privileges,"dataset = xdr_data | filter agent_os_type = AGENT_OS_LINUX | filter event_sub_type = FILE_CHANGE_MODE or event_sub_type = FILE_CHANGE_OWNER or event_sub_type = FILE_WRITE or event_sub_type = FILE_REMOVE or event_sub_type = FILE_RENAME  | filter action_file_path =""/etc/passwd"" or action_file_path=""/etc/shadow"" or action_file_path=""/etc/sudeors"" | fields _time as Time, agent_hostname as AgentHostname, action_file_path as FilePath",0.8042707971445013
16,Write XQL query to look for changes to file associated with login credentials/privileges,"dataset = xdr_data | filter agent_os_type = AGENT_OS_LINUX | filter event_sub_type = FILE_CHANGE_MODE or event_sub_type = FILE_CHANGE_OWNER or event_sub_type = FILE_WRITE or event_sub_type = FILE_REMOVE or event_sub_type = FILE_RENAME | filter action_file_path =\""/etc/passwd\"" or action_file_path=\""/etc/shadow\"" or action_file_path=\""/etc/sudeors\"" | fields _time as Time, agent_hostname as AgentHostname, action_file_path as FilePath",0.8042707971445013
12,Write XQL query to look for changes to file associated with login credentials/privileges,"dataset = xdr_data | filter agent_os_type = AGENT_OS_LINUX | filter event_sub_type = FILE_CHANGE_MODE or event_sub_type = FILE_CHANGE_OWNER or event_sub_type = FILE_WRITE or event_sub_type = FILE_REMOVE or event_sub_type = FILE_RENAME | filter action_file_path =\""/etc/passwd\"" or action_file_path=\""/etc/shadow\"" or action_file_path=\""/etc/sudeors\"" | fields _time as Time, agent_hostname as AgentHostname, action_file_path as FilePath",0.8042707971445013
224,Write XQL query to highlight users connected to GP derived from NGFW Global Protect logs,"dataset = panw_ngfw_globalprotect_raw | filter stage = ""connected"" | comp count(_id) as Count by source_user | fields source_user, Count ",0.8009945245128705
8,"Write XQL query to Firewall Logs and return the count of _id for all records that have matching values of total_traffic by rule_matched,action, from_zone, to_zone where action is allow. Display these fields rule_matched, action, from_zone, to_zone, total_traffic and sort by total_traffic in desc.","dataset = panw_ngfw_traffic_raw\n| filter action = \""allow\""\n| comp count(_id) as total_traffic by rule_matched,action, from_zone, to_zone\n| fields rule_matched, action, from_zone, to_zone, total_traffic\n| sort desc total_traffic",0.8003172938359587
194,Write XQL Query to network story and search for Regsvr32 process making network connections,"preset = network_story  | filter actor_process_image_name = ""regsvr32.exe""  | alter app_id = arraystring(action_app_id_transitions,"","")  | fields actor_process_image_name as process_name, actor_process_command_line as process_cmd, agent_hostname as agent_name, action_local_ip as source_ip, action_local_port as source_port, action_remote_ip as remote_ip, action_remote_port as remote_port,app_id, action_total_upload as upload, action_total_download as download  | filter lowercase(action_process_image_name) = ""rundll32.exe"" AND lowercase(action_process_image_command_line) ~= "".*script.*?mshtml.dll\,runhtmlapplication.*""  | fields action_process_image_command_line as cmd, actor_process_image_path as parent_path, actor_process_command_line as parent_cmd, causality_actor_process_image_path as cgo, causality_actor_process_command_line as cgo_cmd  |filter event_type = FILE AND event_sub_type IN (FILE_CREATE_NEW, FILE_WRITE)  |filter agent_os_sub_type CONTAINS ""server""  |filter action_file_path ~= ""c:\\programdata\\[a-zA-Z0-9]+\.(rar|zip|zipx|7z)"" OR action_file_path ~= ""(c:\\root\\[a-zA-Z0-9]+\.dmp$|c:\\windows\\temp\\[a-zA-Z0-9]+\.dmp$)""  | filter event_type = NETWORK and event_sub_type = NETWORK_STREAM_ACCEPT and (action_local_port = 139 or action_local_port = 445)  | fields event_type, agent_hostname as Hostname, action_local_ip as Local_IP, action_remote_ip as Remote_IP, action_external_hostname as Remote_Host, action_local_port as Local_Port, actor_process_image_name as Process_Getting_Connection  | filter action_file_name contains ""password"" and (action_file_name contains "".doc"" or action_file_name contains "".xls"" or action_file_name contains "".txt"" or action_file_name contains "".csv"") and action_file_name not contains ""~$"" and action_file_name not contains "".lnk"" and action_file_name not contains "":Zone.Identifier"" and actor_effective_username not contains ""system"" and actor_process_image_name not contains ""chrome.exe"" and actor_process_image_name not contains ""cmd.exe"" and actor_process_image_name not contains ""java.exe"" and actor_process_image_name not contains ""searchprotocolhost.exe"" and action_file_path not contains ""appdata"" and (action_file_path contains ""desktop"" or action_file_path contains ""documents"" or action_file_path contains ""user"") |fields action_file_name as FileName, action_file_path as File_Path, actor_effective_username as User, agent_hostname as Hostname, actor_process_image_name as Acting_Process | dedup FileName , Hostname | sort asc User, asc Hostname",0.7991115615856352
233,Write XQL query to highlight IoT Security Alerts derived from IoT Security Alert logs and sort total count in desc order,"dataset = panw_iot_security_alerts_raw | comp count(_id) as Total by name, description, severity, hostname | fields name , description, severity , hostname , Total | sort desc Total",0.7991080872579124
13,Write XQL query to look for Linux files written to the /tmp directory,"dataset = xdr_data | filter agent_os_type = AGENT_OS_LINUX and event_type = FILE and event_sub_type = FILE_WRITE | filter action_file_path ~= \""^/tmp/\"" | fields agent_hostname as Host, action_file_path as FilePath, os_actor_process_command_line as CausalityCommand",0.7971079128666065
146,Write XQL query to find Linux files written to the /tmp directory,"dataset = xdr_data | filter agent_os_type = AGENT_OS_LINUX and event_type = FILE and event_sub_type = FILE_WRITE | filter action_file_path ~= ""^/tmp/"" | fields agent_hostname as Host, action_file_path as FilePath, os_actor_process_command_line as CausalityCommand",0.7966769333848149
127,Write XQL query to Endpoint dataset and find potential duplicate endpoints,"dataset = endpoints | fields endpoint_name, endpoint_status, operating_system, ip_address, last_seen | filter endpoint_name = $endpoint_name",0.7963821328248804
145,Write XQL query to look for changes to file associated with login credentials/privileges on Linux,"dataset = xdr_data | filter agent_os_type = AGENT_OS_LINUX | filter event_sub_type = FILE_CHANGE_MODE or event_sub_type = FILE_CHANGE_OWNER or event_sub_type = FILE_WRITE or event_sub_type = FILE_REMOVE or event_sub_type = FILE_RENAME  | filter action_file_path =""/etc/passwd"" or action_file_path=""/etc/shadow"" or action_file_path=""/etc/sudeors"" | fields _time as Time, agent_hostname as AgentHostname, action_file_path as FilePath",0.7957380839694517
229,Write XQL query to highlight user locations based upon their source_ip derived from NGFW Global Protect logs and display in map chart,"dataset = panw_ngfw_globalprotect_raw | filter stage = ""connected"" | iploc public_ip loc_continent AS Continent, loc_country AS IP_Address_Country, loc_region AS IP_Address_Region, loc_city as IP_Address_City | comp count(_id) as remotelocations by IP_Address_Country | view graph type = map xaxis = IP_Address_Country yaxis = remotelocations legend = `false`",0.794967343172549
180,Write XQL query to search for potential Social Security Numbers exfiltrated via DNS,"dataset = xdr_data| filter event_type = STORY and dns_query_name ~= ""^(\d{3}-?\d{2}-?\d{4}|XXX-XX-XXXX)$.*"" |filter agent_hostname != ""DC1"" |comp count(dns_query_name) as cc_count by dns_query_name, user_id, agent_hostname |fields dns_query_name, cc_count, user_id, agent_hostname, agent_hostname as nullhost |replacenull nullhost = ""N/A"" |filter nullhost != ""N/A"" |fields dns_query_name, cc_count, user_id, nullhost",0.7949231374308977
234,Write XQL query to IOT Security Alert Logs and highlight alert severity and display in pie chart,"dataset = panw_iot_security_alerts_raw | comp count(_id) as Total by severity | view graph type = pie xaxis = severity yaxis = Total valuecolor(""high"",""#fe3600"") valuecolor(""medium"",""#ffad45"")",0.7934857646042126
192,Write XQL query to search for Rare SSL certificates and limit the result to 15,"dataset = xdr_data | fields ssl_req_chello_sni_sample, event_id | comp count(event_id) as Count by ssl_req_chello_sni_sample | sort asc Count | limit 15",0.7906297252647496
226,Write XQL query to highlight GP events by source_ip derived from NGFW Global Protect logs and display in pie graph,"dataset = panw_ngfw_globalprotect_raw | comp count(_id) as Count by public_ip | fields public_ip as src_ip, Count | view graph type = pie xaxis = src_ip yaxis = Count",0.7895650862245227
152,Write XQL query to list files being written to a portable storage device,"dataset = xdr_data  |filter event_type=FILE and event_sub_type = FILE_CREATE_NEW  | alter Drive_Type = json_extract(to_json_string(action_file_device_info),""$.storage_device_drive_type""), Filesystem = json_extract_scalar(to_json_string(action_file_device_info),""$.storage_device_filesystem""), Drive_Letter = json_extract_scalar(to_json_string(action_file_device_info),""$.storage_device_mount_point""), Device_Serial_Number = json_extract_scalar(to_json_string(action_file_device_info),""$.storage_device_serial_number"")  | filter drive_type = ""2""  | fields action_file_name as FileName, action_file_path as File_Path, actor_effective_username as Username, Filesystem, Drive_Letter, Device_Serial_Number  | filter event_sub_type = NETWORK_HTTP_HEADER  | filter agent_hostname contains ""PUT.IP.ADDRESS.HERE"" | alter my_uri = json_extract_scalar(action_network_http, ""$.uri""), host = json_extract_scalar(lowercase(action_network_http), ""$.headers.host"") | alter URL = concat(host, my_uri)  | filter (URL contains ""battle.net"" or URL contains ""akamai"" or URL contains ""wargaming"" or URL contains ""netflix"" or URL contains ""hulu"" or URL contains ""hbo.com"" or URL contains ""youtube.com"" or URL contains ""instagram"" or URL contains ""facebook"" or URL contains ""amazon.com"" or URL contains ""reddit"") and (URL not contains "".png"")  | fields agent_hostname, URL, actor_process_image_name, actor_process_command_line, http_referer | sort desc _time",0.7880946038077478
238,"Write XQL query to Data lake to identify Failed logins on linux, looks for failed passwords and invalid uses","dataset = xdr_data | filter agent_os_type = AGENT_OS_LINUX | filter (action_evtlog_provider_name in (""/var/log/auth.log"", ""/var/log/secure"")) | filter action_evtlog_message contains ""Failed password"" | alter username = regextract(action_evtlog_message , ""Failed password for\s(.*?)from\s"") | alter dsthost = regextract(action_evtlog_message , ""from\s(.*?)\sport"") | fields username as User, dsthost as From, agent_ip_addresses as To , action_evtlog_message | sort desc _time",0.7873755296263689
231,Write XQL query to highlight C2 destinations derived from IoT Security Alert logs and display in map graph,"dataset = panw_iot_security_alerts_raw | alter AlertSource = json_extract(msg, ""$.toip"") | alter AlertSource2 = trim(AlertSource, ""\"""") | iploc AlertSource2 loc_continent AS Continent, loc_country AS IP_Address_Country, loc_region AS IP_Address_Region, loc_city as IP_Address_City | comp count(_id ) as remotelocations by IP_Address_Country | view graph type = map xaxis = IP_Address_Country yaxis = remotelocations legend = `false`",0.7864979949021609
210,Write XQL Query to search for Users running Sudo SU command,"dataset = xdr_data  | filter action_process_image_command_line ~= ""\s+su\b"" AND action_process_image_name = ""sudo""  | fields actor_effective_username as source_username, action_process_username as target_username, action_process_image_command_line as command_line  | filter event_sub_type = NETWORK_HTTP_HEADER and agent_ip_addresses contains ""192.168.1.10""  | alter my_uri = json_extract_scalar(action_network_http, ""$.uri""), host = json_extract_scalar(lowercase(action_network_http), ""$.headers.host"") | alter URL = concat(host, my_uri ) | fields agent_hostname, URL, actor_process_image_name, actor_process_command_line, http_referer | sort desc _time",0.785781547489911
181,Write XQL query to look for Powershell binary code delivery via base64,"preset = xdr_event_log  | filter lowercase(action_evtlog_description) CONTAINS ""scriptblock"" AND lowercase(action_evtlog_message) ~= "".*io.memorystream.*frombase64.*""  | fields agent_hostname as hostname, action_evtlog_message as script, actor_process_image_path as process_path, actor_process_command_line as process_cmd, causality_actor_process_image_path as cgo_path, causality_actor_process_command_line as cgo_cmd  | filter event_sub_type = PROCESS_START AND action_process_file_info != null AND action_process_signature_status != SIGNED  | alter internal_company_name = json_extract_scalar(action_process_file_info, ""$.company""), signature_status_string = to_string(action_process_signature_status)  | filter lowercase(internal_company_name) ~= "".*microsoft.*|.*adobe.*|.*vmware.*|.*apache.*|.*google.*|.*mozilla.*|.*zoom.*|.*oracle.*""  | alter signature_status = if(signature_status_string = ""3"", ""Unsigned"", signature_status_string = ""2"", ""Signed Invalid"", signature_status_string = ""4"", ""Failed To Obtain"", signature_status_string = ""5"", ""Weak Hash"", signature_status_string = ""6"", ""Unsupported"", signature_status_string = ""7"", ""Invalid CVE 2020_0601"", signature_status_string)  | fields internal_company_name, signature_status , action_process_image_path, action_process_image_sha256  |filter event_type = PROCESS AND event_sub_type = PROCESS_START AND action_process_image_name ~= "".*?\.(?:pdf|docx|pptx|bat|mp3|xlsx|avi|mp4|jpg)\.exe""  | fields action_process_image_path as Process_Path, action_process_image_command_line as Process_CMD, action_process_os_pid as Process_PID, actor_process_image_path as Parent_Process, actor_process_command_line as Parent_CMD  | filter event_type = NETWORK and event_sub_type = NETWORK_HTTP_HEADER | alter User_Agent = to_string(json_extract_scalar(action_network_http, ""$.headers.User-Agent"") ) | filter User_Agent != null | dedup User_Agent , actor_process_image_path by asc _time | comp count_distinct(User_Agent) as counter by actor_process_image_path | filter counter > 1 | join (dataset = xdr_data | filter event_type = NETWORK and event_sub_type = NETWORK_HTTP_HEADER | alter User_Agent=to_string(json_extract_scalar(action_network_http, ""$.headers.User-Agent"")) | filter User_Agent != null | dedup User_Agent , actor_process_image_path by asc _time) as UA actor_process_image_path = UA.actor_process_image_path | fields actor_process_image_path as Process_Path, User_Agent",0.7853268240172788
232,Write XQL query to highlight alert categories derived from IoT Security Alert logs and display in pie chart,"dataset = panw_iot_security_alerts_raw | alter AlertType = json_extract(msg, ""$.alertType"") | alter AlertType2 = trim(AlertType, ""\"""") | comp count(_ID) as Total by AlertType2 | view graph type = pie xaxis = AlertType2 yaxis = Total",0.7792033595884779
142,Write XQL query to Data Lake to detect SMB connections,"dataset = xdr_data  | filter event_type = NETWORK AND event_sub_type = NETWORK_STREAM_ACCEPT AND (action_local_port = 139 OR action_local_port = 445)  | fields event_type, agent_hostname as Hostname, action_local_ip as Local_IP, action_remote_ip as Remote_IP, action_external_hostname as Remote_Host, action_local_port as Local_Port, actor_process_image_name as Process_Getting_Connection  | filter event_type = NETWORK AND event_sub_type = ENUM.NETWORK_STREAM_CONNECT_FAILED AND (action_remote_port = 139 OR action_remote_port = 445) | fields event_type, agent_hostname as Hostname, action_local_ip as Local_IP, action_remote_ip as Remote_IP, action_external_hostname as Remote_Host, action_local_port as Local_Port, actor_process_image_name as Process_Getting_Connection | alter IP_Address_Private = if (incidr(Remote_IP, ""10.0.0.0/8"") = true, ""TRUE"", if (incidr(Remote_IP, ""127.0.0.0/8"") = true, ""TRUE"", if (incidr(Remote_IP, ""169.254.0.0/16"") = true, ""TRUE"", if (incidr(Remote_IP, ""172.16.0.0/12"") = true, ""TRUE"", if (incidr(Remote_IP, ""192.168.0.0/16"") = true, ""TRUE"", ""FALSE""))))) | filter IP_Address_Private = ""TRUE"" | comp count_distinct(Remote_IP ) as num_dest_ip by Local_IP | limit 100 | sort desc num_dest_ip",0.7778738817035367
206,"Write XQL Query to display Top 10 users creating files on a removable device, filter for more than 100 files and sort in desc order","dataset = xdr_data  | filter event_type = FILE AND event_sub_type = FILE_CREATE_NEW  | alter Drive_Type = json_extract(to_json_string(action_file_device_info),""$.storage_device_drive_type""), Filesystem = json_extract_scalar(to_json_string(action_file_device_info),""$.storage_device_filesystem""), Drive_Letter = json_extract_scalar(to_json_string(action_file_device_info),""$.storage_device_mount_point""), Device_Serial_Number = json_extract_scalar(to_json_string(action_file_device_info),""$.storage_device_serial_number"")  | filter drive_type = ""2""  | fields action_file_path as File_Path, actor_effective_username as Username, Filesystem, Drive_Letter, Device_Serial_Number  | comp count_distinct(File_Path) as Count_Of_Unique_Files by Username, Filesystem, Drive_Letter, Device_Serial_Number  | filter Count_Of_Unique_Files > 100  | sort desc Count_Of_Unique_Files  | filter event_type = STORY AND auth_identity_display_name != null AND auth_outcome != ""SUCCESS""  | fields auth_identity_display_name as user, auth_identity as email, auth_client as source  | comp count_distinct(source) as counter by user, email  | sort desc counter  | limit 10  | bin _time span = 1h | comp sum(bytes_total ) as TotalBytes by _time | alter TotalGB = divide(TotalBytes ,1048576) | sort asc _time | view graph type = line header = ""Total Traffic By 1Hr"" xaxis = _time yaxis = TotalGB xaxistitle = ""Time"" yaxistitle = ""Traffic Volume (GB)""",0.777611799823433
